Probabilistic topic modeling, reinforcement learning, and crowdsourcing for personalized recommendations|http://scholar.google.com/https://link.springer.com/chapter/10.1007/978-3-319-59294-7_14|2016|1|3|4564874351854891050|None|http://scholar.google.com/scholar?cites=4564874351854891050&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=4564874351854891050&hl=en&as_sdt=0,5|None|We put forward an innovative use of probabilistic topic modeling (PTM) intertwined with reinforcement learning (RL), to provide personalized recommendations. Specifically, we model items under recommendation as mixtures of latent topics following a distribution with …
Precision medicine as a control problem: Using simulation and deep reinforcement learning to discover adaptive, personalized multi-cytokine therapy for sepsis|http://scholar.google.com/https://arxiv.org/abs/1802.10440|2018|1|2|14798002392877160999|None|http://scholar.google.com/scholar?cites=14798002392877160999&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=14798002392877160999&hl=en&as_sdt=0,5|None|Sepsis is a life-threatening condition affecting one million people per year in the US in which dysregulation of the body's own immune system causes damage to its tissues, resulting in a 28-50% mortality rate. Clinical trials for sepsis treatment over the last 20 years have failed to …
Reinforcement Learning for Game Personalization on Edge Devices|http://scholar.google.com/https://ieeexplore.ieee.org/iel7/8355492/8356824/08356853.pdf|None|0|0|None|http://scholar.google.com/https://ieeexplore.ieee.org/iel7/8355492/8356824/08356853.pdf|None|None|None|Good progress has been shown recently in the area of active learning, specifically, Reinforcement learning (RL). In this paper, the authors show how RL can be used to personalize games based on user-interaction with the game. The work uses Deep Q …
Investigating Deep Reinforcement Learning Techniques in Personalized Dialogue Generation|http://scholar.google.com/https://epubs.siam.org/doi/abs/10.1137/1.9781611975321.71|2018|0|0|None|None|None|None|None|In this paper, we propose a personalized dialogue generation system, which combines reinforcement learning techniques with an attention-based hierarchical recurrent encoderdecoder model. Firstly, we incorporate user-specific information into the decoder to …
Personalization Information Technology of Multi Roles Cooperative Reinforcement Learning [J]|http://en.cnki.com.cn/Article_en/CJFDTOTAL-JSGG200631053.htm|2006|0|0|None|None|None|None|None|The paper concerns the present application situation that the network resources inflating frequently make the current search engine index tens of thousands of results, the good and evil intermingled. Referring social science and economics and psychology and distributed …
Personalized Medical Treatments Using Novel Reinforcement Learning Algorithms|http://scholar.google.com/https://arxiv.org/abs/1406.3922|2014|1|2|10124008237425591894|None|http://scholar.google.com/scholar?cites=10124008237425591894&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=10124008237425591894&hl=en&as_sdt=0,5|None|In both the fields of computer science and medicine there is very strong interest in developing personalized treatment policies for patients who have variable responses to treatments. In particular, I aim to find an optimal personalized treatment policy which is a non …
… generalization techniques from inductive concept learning can be applied to reinforcement learning. However, techniques often need to be tailored to specific details …|http://scholar.google.com/https://www.cs.cmu.edu/afs/cs/project/jair/pub/volume4/kaelbling96a-html/node32.html|None|0|4|None|None|None|http://scholar.google.com/scholar?cluster=14455205936570150544&hl=en&as_sdt=0,5|None|The reinforcement-learning architectures and algorithms discussed above have included the storage of a variety of mappings, including tex2html_wrap_inline2256 (policies), tex2html_wrap_inline2258 (value functions), tex2html_wrap_inline2260 (Q functions and …
Reinforcement Learning and Psychology: A Personal Story|http://incompleteideas.net/Talks/RLpsych.pdf|None|0|2|None|http://incompleteideas.net/Talks/RLpsych.pdf|None|http://scholar.google.com/scholar?cluster=15064335997216713748&hl=en&as_sdt=0,5|None|• The engineering endeavor most closely related to natural learning in animals and people!• A new (~ 30 year old) class of learning algorithms, inspired by animal learning psychology, and developed within machine learning and AI, for approximately solving large optimal …
FOREWORDDoes Reinforcement Learning Simulate Threshold Public Goods Games?: A Comparison with Subject ExperimentsA QoS Control …|http://scholar.google.com/https://search.ieice.org/bin/index.php?category=D&lang=E&num=8&vol=E86-D|None|0|2|None|None|None|http://scholar.google.com/scholar?cluster=14785074486542174507&hl=en&as_sdt=0,5|None|… pp.1335-1343 PAPER Does Reinforcement Learning Simulate Threshold Public Goods Games?:A Comparison with Subject Experiments Atsushi IWASAKI Shuichi IMURA Sobei H. ODA ItsuoHATONO Kanji UEDA. Summary | Full Text:PDF(648.1KB). pp.1344-1355 PAPER A QoS Control …
Reinforcement-Learning-Based Personalization of Head-Related Transfer Functions|http://www.aes.org/e-lib/browse.cfm?elib=19563|2018|0|0|None|None|None|None|None|Accurately perceiving spatial locations of virtual sounds using stereo earphones or headphones requires individual head-related transfer functions (HRTFs) for each listener. However, accurate HRTF measurement is usually difficult. While previous studies have …
