Group-driven Reinforcement Learning for Personalized mHealth Intervention|http://scholar.google.com/https://arxiv.org/abs/1708.04001|2017|1|3|1859342849025362188|None|http://scholar.google.com/scholar?cites=1859342849025362188&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=1859342849025362188&hl=en&as_sdt=0,5|None|Due to the popularity of smartphones and wearable devices nowadays, mobile health (mHealth) technologies are promising to bring positive and wide impacts on people's health. State-of-the-art decision-making methods for mHealth rely on some ideal assumptions …
Personalization of Health Interventions using Cluster-Based Reinforcement Learning|http://scholar.google.com/https://arxiv.org/abs/1804.03592|2018|0|2|None|None|None|http://scholar.google.com/scholar?cluster=16740542658593853070&hl=en&as_sdt=0,5|None|Research has shown that personalization of health interventions can contribute to an improved effectiveness. Reinforcement learning algorithms can be used to perform such tailoring using data that is collected about users. Learning is however very fragile for health …
Personalization Travel Support Engine Using Reinforcement Learning|None|None|0|0|None|None|None|None|None|None
Application of reinforcement learning where training institutes offer multiple short-term courses as professional career solution, in such environment …|http://swindlink.com/wp-content/themes/book-store1/uploads/paper_ApplicationofreinforcementlearninginServiceMarketingManagement-1513413142.docx|None|0|0|None|None|None|None|None|Goal of a candidate is to teach Research-Methodology (subject) as a trainer (be it in Corporate or at academic institutes). He has completed MBA in systems. He visits a job-fair (as he was not getting his desired type of job), there professional training institutes also …
An Interactive Multisensing Framework for Personalized Human Robot Collaboration and Assistive Training Using Reinforcement Learning|http://scholar.google.com/https://dl.acm.org/citation.cfm?id=3076191|2017|0|0|None|None|None|None|None|There is a recent trend of research and applications of Cyber-Physical Systems (CPS) in manufacturing to enhance human-robot collaboration and production. In this paper, we propose a CPS framework for personalized Human-Robot Collaboration and Training to …
Representation and Reinforcement Learning for Personalized Glycemic Control in Septic Patients|http://scholar.google.com/https://arxiv.org/abs/1712.00654|2017|0|3|None|None|None|http://scholar.google.com/scholar?cluster=3499500435873679663&hl=en&as_sdt=0,5|None|Glycemic control is essential for critical care. However, it is a challenging task because there has been no study on personalized optimal strategies for glycemic control. This work aims to learn personalized optimal glycemic trajectories for severely ill septic patients by learning …
… CoreAcquisition and Maintenance of Knowledge for Online Navigation SuggestionsCHQ: A Multi-Agent Reinforcement Learning Scheme for Partially …|http://scholar.google.com/https://search.ieice.org/bin/index.php?category=D&lang=E;&num=5&vol=E88-D&year=2005|None|0|2|None|None|None|http://scholar.google.com/scholar?cluster=4109290038346175065&hl=en&as_sdt=0,5|None|Archive. Japanese Page. SITE TOP. Login. Site License A B C D >. Forgotten your password?Menu. Search: Full-Text Search; Search(JPN). Latest Issue. A Fundamentals:Trans.Fundamentals. JPN Edition(in Japanese). B Communications: Trans.Commun. JPN …
… Intelligent Framework for Personalized Simulation-enhanced Surgery Assistance: Linking a Simulation Ontology to a Reinforcement Learning Algorithm for Calibration …|http://scholar.google.com/https://journals.ub.uni-heidelberg.de/index.php/emcl-pp/article/view/42079|2017|1|0|5624601225505777501|None|http://scholar.google.com/scholar?cites=5624601225505777501&as_sdt=2005&sciodt=0,5&hl=en|None|None|Evolving our previous research results in the context of cognition-guidance and patient-specifity for simulation-enhanced cardiac surgery assistance, in this work we further investigate on (1) a machine learning framework which allows to patient-individually …
PERSONALIZED INSULIN INFUSION IN TYPE 1 DIABETES BASED ON REINFORCEMENT LEARNING|None|2014|0|0|None|None|None|None|None|None
… of the Book Statistical Methods for Dynamic Treatment Regimes: Reinforcement Learning, Causal Inference, and Personalized Medicine by Bibhas …|http://scholar.google.com/https://www.infona.pl/resource/bwmeta1.element.springer-doi-10_1007-S13253-015-0204-7|2015|0|2|None|None|None|http://scholar.google.com/scholar?cluster=949719320383321427&hl=en&as_sdt=0,5|None|None
