Personalized tuning of a reinforcement learning control algorithm for glucose regulation|http://ieeexplore.ieee.org/abstract/document/6610293/|2013|5|6|5187768875638566465|None|http://scholar.google.com/scholar?cites=5187768875638566465&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=5187768875638566465&hl=en&as_sdt=0,5|None|Artificial pancreas is in the forefront of research towards the automatic insulin infusion for patients with type 1 diabetes. Due to the high inter-and intra-variability of the diabetic population, the need for personalized approaches has been raised. This study presents an …
Towards efficient, personalized anesthesia using continuous reinforcement learning for propofol infusion control|http://ieeexplore.ieee.org/abstract/document/6696208/|2013|5|6|5145935390127444823|None|http://scholar.google.com/scholar?cites=5145935390127444823&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=5145935390127444823&hl=en&as_sdt=0,5|None|We demonstrate the use of reinforcement learning algorithms for efficient and personalized control of patients' depth of general anesthesia during surgical procedures-an important aspect for Neurotechnology. We used the continuous actor-critic learning automaton …
Personalized automatic image annotation based on reinforcement learning|http://ieeexplore.ieee.org/abstract/document/6607456/|2013|5|5|18416800693595882825|None|http://scholar.google.com/scholar?cites=18416800693595882825&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=18416800693595882825&hl=en&as_sdt=0,5|None|With the rapidly increasing number of personal image collections on the web, it is of great importance to annotate these user-uploaded images in personalized manner. But personalized image annotation is largely ignored by the mainstream of image annotation …
Developing adaptive personalized therapy for cystic fibrosis using reinforcement learning|http://biostats.bepress.com/uncbiostat/art30/|2012|4|0|17474387247404320883|None|http://scholar.google.com/scholar?cites=17474387247404320883&as_sdt=2005&sciodt=0,5&hl=en|None|None|Optimal clinical management of inherited chronic diseases, such as Cystic Fibrosis (CF), requires a dynamic approach which updates treatments to cope with the evolving course of illness and to tailor medicines and dosages for individual patient. In this paper, we examine …
Swarm reinforcement learning algorithm based on particle swarm optimization whose personal bests have lifespans|http://scholar.google.com/https://link.springer.com/chapter/10.1007/978-3-642-10684-2_19|2009|4|4|9492822078970430911|None|http://scholar.google.com/scholar?cites=9492822078970430911&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=9492822078970430911&hl=en&as_sdt=0,5|None|We recently proposed a swarm reinforcement learning algorithm based on particle swarm optimization (PSO) in order to find optimal policies rapidly. In this algorithm, multiple agents are prepared, and they learn not only by individual learning but also by an update procedure …
A task-oriented service personalization scheme for smart environments using reinforcement learning|http://ieeexplore.ieee.org/abstract/document/7457110/|2016|2|2|11050797947768858239|None|http://scholar.google.com/scholar?cites=11050797947768858239&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=11050797947768858239&hl=en&as_sdt=0,5|None|Users want IoT environments to provide them with personalized support. These environments therefore need to be able to learn user preferences, such as what temperature the room should be or which lights should be turned on. We propose a novel system that …
Reinforcement Learning of User Preferences for a Ubiquitous Personal Assistant|http://scholar.google.com/https://www.intechopen.com/download/pdf/13053|2011|2|18|8925224382166895311|None|http://scholar.google.com/scholar?cites=8925224382166895311&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=8925224382166895311&hl=en&as_sdt=0,5|None|New technologies bring a multiplicity of new possibilities for users to work with computers. Not only are spaces more and more equipped with stationary computers or notebooks, but more and more users carry mobile devices with them (smart-phones, personal digital …
Autonomous task sequencing for customized curriculum design in reinforcement learning|http://scholar.google.com/https://pdfs.semanticscholar.org/5104/9ff6f30b2c8a19ac0a0100a6c0168b9d76dc.pdf|2017|4|10|17609733676961846422|http://scholar.google.com/https://pdfs.semanticscholar.org/5104/9ff6f30b2c8a19ac0a0100a6c0168b9d76dc.pdf|http://scholar.google.com/scholar?cites=17609733676961846422&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=17609733676961846422&hl=en&as_sdt=0,5|None|Transfer learning is a method where an agent reuses knowledge learned in a source task to improve learning on a target task. Recent work has shown that transfer learning can be extended to the idea of curriculum learning, where the agent incrementally accumulates …
Statistical Methods for Dynamic Treatment Regimes: Reinforcement Learning, Causal Inference, and Personalized Medicine. Vol. 76|None|2013|2|0|4035698374077919339|None|http://scholar.google.com/scholar?cites=4035698374077919339&as_sdt=2005&sciodt=0,5&hl=en|None|None|None
Interactive narrative personalization with deep reinforcement learning|http://scholar.google.com/https://pdfs.semanticscholar.org/a009/044d8d89b4ab2587d5ef591b79fd0b927fac.pdf|2017|2|5|1255666385685609171|http://scholar.google.com/https://pdfs.semanticscholar.org/a009/044d8d89b4ab2587d5ef591b79fd0b927fac.pdf|http://scholar.google.com/scholar?cites=1255666385685609171&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=1255666385685609171&hl=en&as_sdt=0,5|None|Data-driven techniques for interactive narrative generation are the subject of growing interest. Reinforcement learning (RL) offers significant potential for devising data-driven interactive narrative generators that tailor players' story experiences by inducing policies …
